sent_id,gold_text,fixed_output,error_output,in_gold,in_fixed,in_error,fixed_char_similarity,fixed_lemma_seq_similarity,fixed_lemma_jaccard,fixed_lemma_multiset_jaccard,fixed_lemma_f1,fixed_gold_norm,fixed_pred_norm,fixed_gold_lemmas,fixed_pred_lemmas,error_char_similarity,error_lemma_seq_similarity,error_lemma_jaccard,error_lemma_multiset_jaccard,error_lemma_f1,error_gold_norm,error_pred_norm,error_gold_lemmas,error_pred_lemmas,char_similarity_diff_fixed_minus_error,lemma_seq_similarity_diff_fixed_minus_error,lemma_f1_diff_fixed_minus_error
bio_1129,İkinci kapıdan da çıkardı.,İki kapıdan da çıkmış.,İki kapıdan da çıkıyordu.,True,True,True,0.8333333333333334,0.5,0.3333333333333333,0.3333333333333333,0.5,i kinci kapıdan da çıkardı,i ki kapıdan da çıkmış,i kinci kapıdan da çıkardı,i ki kapıdan da çıkmış,0.8235294117647058,0.5,0.3333333333333333,0.3333333333333333,0.5,i kinci kapıdan da çıkardı,i ki kapıdan da çıkıyordu,i kinci kapıdan da çıkardı,i ki kapıdan da çıkıyordu,0.009803921568627527,0.0,0.0
bio_1201,Gerçi şimdilik beni kullandıkları yok ama yeri geliyor evladın bile seni sömürüyor.,Gerçi şimdilik beni kullanan yok ama yer geldiğinde evladın bile seni sömürür.,Gerçi şimdilik beni kullanan yok ama yer gelir evlat bile seni sömürür.,True,True,True,0.8805031446540881,0.6666666666666666,0.5,0.5,0.6666666666666666,gerçi şimdilik beni kullandıkları yok ama yeri geliyor evladın bile seni sömürüyor,gerçi şimdilik beni kullanan yok ama yer geldiğinde evladın bile seni sömürür,gerçi şimdilik beni kullandıkları yok ama yeri geliyor evladın bile seni sömürüyor,gerçi şimdilik beni kullanan yok ama yer geldiğinde evladın bile seni sömürür,0.8947368421052632,0.5833333333333334,0.4117647058823529,0.4117647058823529,0.5833333333333334,gerçi şimdilik beni kullandıkları yok ama yeri geliyor evladın bile seni sömürüyor,gerçi şimdilik beni kullanan yok ama yer gelir evlat bile seni sömürür,gerçi şimdilik beni kullandıkları yok ama yeri geliyor evladın bile seni sömürüyor,gerçi şimdilik beni kullanan yok ama yer gelir evlat bile seni sömürür,-0.014233697451175087,0.08333333333333326,0.08333333333333326
bio_1314,Hastalığını unutmuş gibiydi.,Hastalığı unutmuş gibiydi.,Hastalığı unutmamış gibi.,True,True,True,0.9615384615384616,0.6666666666666666,0.5,0.5,0.6666666666666666,hastalığını unutmuş gibiydi,hastalığı unutmuş gibiydi,hastalığını unutmuş gibiydi,hastalığı unutmuş gibiydi,0.8235294117647058,0.0,0.0,0.0,0.0,hastalığını unutmuş gibiydi,hastalığı unutmamış gibi,hastalığını unutmuş gibiydi,hastalığı unutmamış gibi,0.13800904977375572,0.6666666666666666,0.6666666666666666
bio_1332,"Ben ""Reis"" olduğum için mallar bizim bahçede saklanırdı.","Ben, ""reis"" olduğum için mallar bizim bahçede saklanırdı.","Ben, reis olduğum için mallar bizim bahçede saklanmış.",True,True,True,1.0,1.0,1.0,1.0,1.0,ben reis olduğum için mallar bizim bahçede saklanırdı,ben reis olduğum için mallar bizim bahçede saklanırdı,ben reis olduğum için mallar bizim bahçede saklanırdı,ben reis olduğum için mallar bizim bahçede saklanırdı,0.9523809523809523,0.875,0.7777777777777778,0.7777777777777778,0.875,ben reis olduğum için mallar bizim bahçede saklanırdı,ben reis olduğum için mallar bizim bahçede saklanmış,ben reis olduğum için mallar bizim bahçede saklanırdı,ben reis olduğum için mallar bizim bahçede saklanmış,0.04761904761904767,0.125,0.125
bio_1350,"Ama resim oldukları için değil, resmettikleri İstanbul olduğu için.","Ama resimleri olmuş için değil, İstanbul'u resmetmiş için.","Ama resim olduğu için değil, resmetmek İstanbul olduğu için.",True,True,True,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.38461538461538464,0.5555555555555556,ama resim oldukları için değil resmettikleri i stanbul olduğu için,ama resimleri olmuş için değil i stanbul u resmetmiş için,ama resim oldukları için değil resmettikleri i stanbul olduğu için,ama resimleri olmuş için değil i stanbul u resmetmiş için,0.88,0.7777777777777778,0.6666666666666666,0.6363636363636364,0.7777777777777778,ama resim oldukları için değil resmettikleri i stanbul olduğu için,ama resim olduğu için değil resmetmek i stanbul olduğu için,ama resim oldukları için değil resmettikleri i stanbul olduğu için,ama resim olduğu için değil resmetmek i stanbul olduğu için,-0.21333333333333337,-0.2222222222222222,-0.2222222222222222
bio_1507,İçimde ne olduğunu bilmediğim tuhaf bir şeyin cız ettiğini somut olarak duydum.,İçimde ne olduğunu bilmediğim tuhaf bir şey cızırtı ettiğini somut olarak duydum.,İçimde ne olduğu bilemediğim tuhaf bir şey cızı ettiğini somut olarak duydum.,True,True,True,0.9625,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.8333333333333334,i çimde ne olduğunu bilmediğim tuhaf bir şeyin cız ettiğini somut olarak duydum,i çimde ne olduğunu bilmediğim tuhaf bir şey cızırtı ettiğini somut olarak duydum,i çimde ne olduğunu bilmediğim tuhaf bir şeyin cız ettiğini somut olarak duydum,i çimde ne olduğunu bilmediğim tuhaf bir şey cızırtı ettiğini somut olarak duydum,0.9615384615384616,0.6666666666666666,0.5,0.5,0.6666666666666666,i çimde ne olduğunu bilmediğim tuhaf bir şeyin cız ettiğini somut olarak duydum,i çimde ne olduğu bilemediğim tuhaf bir şey cızı ettiğini somut olarak duydum,i çimde ne olduğunu bilmediğim tuhaf bir şeyin cız ettiğini somut olarak duydum,i çimde ne olduğu bilemediğim tuhaf bir şey cızı ettiğini somut olarak duydum,0.0009615384615384581,0.16666666666666674,0.16666666666666674
bio_154,Babam da annem de 'deli oğlan'larının bu işi yapabileceğine bir inandılar bir inanamadılar ama hep yanımda oldular.,Babam da annem de 'deli oğlan'ların bu işi yapabileceklerine inandılar bir inandılar ama hep yanımda oldular.,Babam da annem de oğlanların bu işi yapabileceğine inanmışlar bir inanmışlar ama hep yanımda olmuşlar.,True,True,True,0.9363636363636364,0.8,0.7368421052631579,0.6666666666666666,0.7999999999999999,babam da annem de deli oğlan larının bu işi yapabileceğine bir inandılar bir inanamadılar ama hep yanımda oldular,babam da annem de deli oğlan ların bu işi yapabileceklerine inandılar bir inandılar ama hep yanımda oldular,babam da annem de deli oğlan larının bu işi yapabileceğine bir inandılar bir inanamadılar ama hep yanımda oldular,babam da annem de deli oğlan ların bu işi yapabileceklerine inandılar bir inandılar ama hep yanımda oldular,0.897196261682243,0.6666666666666666,0.55,0.5,0.6666666666666666,babam da annem de deli oğlan larının bu işi yapabileceğine bir inandılar bir inanamadılar ama hep yanımda oldular,babam da annem de oğlanların bu işi yapabileceğine inanmışlar bir inanmışlar ama hep yanımda olmuşlar,babam da annem de deli oğlan larının bu işi yapabileceğine bir inandılar bir inanamadılar ama hep yanımda oldular,babam da annem de oğlanların bu işi yapabileceğine inanmışlar bir inanmışlar ama hep yanımda olmuşlar,0.03916737468139342,0.13333333333333341,0.1333333333333333
bio_1682,"""İnsanlar dünyanın dört bir köşesinden Ani'yi görmeye geliyorlar...""","""İnsanlar dünyanın dört bir köşesinden Ani'yi görmeye geliyorlar...""","""İnsanlar dünyanın dört bir köşesinden ani görmeye gelirler...""",True,True,True,1.0,1.0,1.0,1.0,1.0,i nsanlar dünyanın dört bir köşesinden ani yi görmeye geliyorlar,i nsanlar dünyanın dört bir köşesinden ani yi görmeye geliyorlar,i nsanlar dünyanın dört bir köşesinden ani yi görmeye geliyorlar,i nsanlar dünyanın dört bir köşesinden ani yi görmeye geliyorlar,0.943089430894309,0.8235294117647058,0.7,0.7,0.823529411764706,i nsanlar dünyanın dört bir köşesinden ani yi görmeye geliyorlar,i nsanlar dünyanın dört bir köşesinden ani görmeye gelirler,i nsanlar dünyanın dört bir köşesinden ani yi görmeye geliyorlar,i nsanlar dünyanın dört bir köşesinden ani görmeye gelirler,0.05691056910569103,0.17647058823529416,0.17647058823529405
bio_1718,Kendileri Çin'in kuzeyinden geliyorlardı.,Kendileri Çin'in kuzeyinden geliyorlardı.,Kendileri Çin'in kuzeyinden geliydi.,True,True,True,1.0,1.0,1.0,1.0,1.0,kendileri çin in kuzeyinden geliyorlardı,kendileri çin in kuzeyinden geliyorlardı,kendileri çin in kuzeyinden geliyorlardı,kendileri çin in kuzeyinden geliyorlardı,0.9066666666666666,0.8,0.6666666666666666,0.6666666666666666,0.8000000000000002,kendileri çin in kuzeyinden geliyorlardı,kendileri çin in kuzeyinden geliydi,kendileri çin in kuzeyinden geliyorlardı,kendileri çin in kuzeyinden geliydi,0.09333333333333338,0.19999999999999996,0.19999999999999984
bio_1781,"O da biliyordu bunu, demekki yanımdakinin tayinine bakıyordu.","O da biliyordu bunu, de ki yan tayinine bakıyordu.","O o biliyordu bu, de yan tayinime bakıyordu.",True,True,True,0.8785046728971962,0.7058823529411765,0.5454545454545454,0.5454545454545454,0.7058823529411765,o da biliyordu bunu demekki yanımdakinin tayinine bakıyordu,o da biliyordu bunu de ki yan tayinine bakıyordu,o da biliyordu bunu demekki yanımdakinin tayinine bakıyordu,o da biliyordu bunu de ki yan tayinine bakıyordu,0.7920792079207921,0.375,0.25,0.23076923076923078,0.375,o da biliyordu bunu demekki yanımdakinin tayinine bakıyordu,o o biliyordu bu de yan tayinime bakıyordu,o da biliyordu bunu demekki yanımdakinin tayinine bakıyordu,o o biliyordu bu de yan tayinime bakıyordu,0.08642546497640413,0.3308823529411765,0.3308823529411765
bio_1937,Ama üzerimizde bazı silahlar getiriyorduk.,Ama üzerimizde bazı silahları getiriyorduk.,Ama üzerimizde bazı silahlar getirmişiz.,True,True,True,0.9879518072289156,0.8,0.6666666666666666,0.6666666666666666,0.8000000000000002,ama üzerimizde bazı silahlar getiriyorduk,ama üzerimizde bazı silahları getiriyorduk,ama üzerimizde bazı silahlar getiriyorduk,ama üzerimizde bazı silahları getiriyorduk,0.875,0.8,0.6666666666666666,0.6666666666666666,0.8000000000000002,ama üzerimizde bazı silahlar getiriyorduk,ama üzerimizde bazı silahlar getirmişiz,ama üzerimizde bazı silahlar getiriyorduk,ama üzerimizde bazı silahlar getirmişiz,0.11295180722891562,0.0,0.0
bio_1999,Ahmet'in geri dönmesini kararlaştırdık.,Ahmet'in geri dönmesini kararlaştırdık.,Ahmet'in geri dönüşüne karar verdik.,True,True,True,1.0,1.0,1.0,1.0,1.0,ahmet in geri dönmesini kararlaştırdık,ahmet in geri dönmesini kararlaştırdık,ahmet in geri dönmesini kararlaştırdık,ahmet in geri dönmesini kararlaştırdık,0.7397260273972602,0.5454545454545454,0.375,0.375,0.5454545454545454,ahmet in geri dönmesini kararlaştırdık,ahmet in geri dönüşüne karar verdik,ahmet in geri dönmesini kararlaştırdık,ahmet in geri dönüşüne karar verdik,0.26027397260273977,0.4545454545454546,0.4545454545454546
bio_399,"Kişilerin değerlendirilmesinde ölçü, dini inancı olmamalıdır.","Kişilerin değerlendirilmesinde ölçü, dini inancı olmasın.","Kişilerin değerinde ölçü, dini inancı olmasın.",True,True,True,0.9298245614035088,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.8333333333333334,kişilerin değerlendirilmesinde ölçü dini inancı olmamalıdır,kişilerin değerlendirilmesinde ölçü dini inancı olmasın,kişilerin değerlendirilmesinde ölçü dini inancı olmamalıdır,kişilerin değerlendirilmesinde ölçü dini inancı olmasın,0.8155339805825242,0.6666666666666666,0.5,0.5,0.6666666666666666,kişilerin değerlendirilmesinde ölçü dini inancı olmamalıdır,kişilerin değerinde ölçü dini inancı olmasın,kişilerin değerlendirilmesinde ölçü dini inancı olmamalıdır,kişilerin değerinde ölçü dini inancı olmasın,0.11429058082098453,0.16666666666666674,0.16666666666666674
bio_402,"Belirlenen gün Eminönü Halkevi'ne gittik, çeşitli fakülte mensubu kızlarla delikanlılar fikirlerini ortaya koyuyorlardı.","Belirlenen gün Eminönü halkevlerine gittik, çeşitli fakülte mensubu kızlarla delikanlılar fikirlerini ortay koymuşlardı.","Belirlenen gün Eminönü halkevine gittik, çeşitli fakülte mensubu kızlar ve delikanlılar, fikirlerini ortaya koymuşlardı.",True,True,True,0.9576271186440678,0.7407407407407407,0.5882352941176471,0.5882352941176471,0.7407407407407408,belirlenen gün eminönü halkevi ne gittik çeşitli fakülte mensubu kızlarla delikanlılar fikirlerini ortaya koyuyorlardı,belirlenen gün eminönü halkevlerine gittik çeşitli fakülte mensubu kızlarla delikanlılar fikirlerini ortay koymuşlardı,belirlenen gün eminönü halkevi ne gittik çeşitli fakülte mensubu kızlarla delikanlılar fikirlerini ortaya koyuyorlardı,belirlenen gün eminönü halkevlerine gittik çeşitli fakülte mensubu kızlarla delikanlılar fikirlerini ortay koymuşlardı,0.9531914893617022,0.7142857142857143,0.5555555555555556,0.5555555555555556,0.7142857142857143,belirlenen gün eminönü halkevi ne gittik çeşitli fakülte mensubu kızlarla delikanlılar fikirlerini ortaya koyuyorlardı,belirlenen gün eminönü halkevine gittik çeşitli fakülte mensubu kızlar ve delikanlılar fikirlerini ortaya koymuşlardı,belirlenen gün eminönü halkevi ne gittik çeşitli fakülte mensubu kızlarla delikanlılar fikirlerini ortaya koyuyorlardı,belirlenen gün eminönü halkevine gittik çeşitli fakülte mensubu kızlar ve delikanlılar fikirlerini ortaya koymuşlardı,0.004435629282365627,0.026455026455026398,0.02645502645502651
bio_409,"(beyin şimdilik dursun) ""bir tek insana"" aittir.","(Beyin şimdilik Dursun) ""bir tek insana"" aitti.","(Beyin şimdilik dursun) ""bir tek insana"" ait.",True,True,True,0.9882352941176471,0.8571428571428571,0.75,0.75,0.8571428571428571,beyin şimdilik dursun bir tek insana aittir,beyin şimdilik dursun bir tek insana aitti,beyin şimdilik dursun bir tek insana aittir,beyin şimdilik dursun bir tek insana aitti,0.963855421686747,0.8571428571428571,0.75,0.75,0.8571428571428571,beyin şimdilik dursun bir tek insana aittir,beyin şimdilik dursun bir tek insana ait,beyin şimdilik dursun bir tek insana aittir,beyin şimdilik dursun bir tek insana ait,0.024379872430900118,0.0,0.0
bio_494,O arada bir arsa aldım.,O arada bir arsa aldım.,O arada bir arsayı aldım.,True,True,True,1.0,1.0,1.0,1.0,1.0,o arada bir arsa aldım,o arada bir arsa aldım,o arada bir arsa aldım,o arada bir arsa aldım,0.9565217391304348,0.8,0.6666666666666666,0.6666666666666666,0.8000000000000002,o arada bir arsa aldım,o arada bir arsayı aldım,o arada bir arsa aldım,o arada bir arsayı aldım,0.04347826086956519,0.19999999999999996,0.19999999999999984
bio_588,Namazdan önce Meral'le vedalaşmak istediğimi söyledim.,Namazdan önce Meral'le vedalaşmak istediğimi söyledim.,Namazdan önce Meral'le vedalaşmayı istediğimi söyledim.,True,True,True,1.0,1.0,1.0,1.0,1.0,namazdan önce meral le vedalaşmak istediğimi söyledim,namazdan önce meral le vedalaşmak istediğimi söyledim,namazdan önce meral le vedalaşmak istediğimi söyledim,namazdan önce meral le vedalaşmak istediğimi söyledim,0.9719626168224299,0.8571428571428571,0.75,0.75,0.8571428571428571,namazdan önce meral le vedalaşmak istediğimi söyledim,namazdan önce meral le vedalaşmayı istediğimi söyledim,namazdan önce meral le vedalaşmak istediğimi söyledim,namazdan önce meral le vedalaşmayı istediğimi söyledim,0.028037383177570097,0.1428571428571429,0.1428571428571429
bio_75,Tarihi yalılar müstesna...,Tarihi yalılar müstesnadır...,Tarihi yalıları Müstesna...,True,True,True,0.9387755102040817,0.6666666666666666,0.5,0.5,0.6666666666666666,tarihi yalılar müstesna,tarihi yalılar müstesnadır,tarihi yalılar müstesna,tarihi yalılar müstesnadır,0.9787234042553191,0.6666666666666666,0.5,0.5,0.6666666666666666,tarihi yalılar müstesna,tarihi yalıları müstesna,tarihi yalılar müstesna,tarihi yalıları müstesna,-0.03994789405123744,0.0,0.0
bio_83,Fakat toplumsal bir yararın elde edilmesi bu yöntemle mümkün değildir.,Fakat toplumsal bir yararın elde edilmesi bu yöntemle mümkün değildi.,Fakat toplumsal bir yarar elinde bu yöntemle mümkün değil.,True,True,True,0.9927007299270073,0.9,0.8181818181818182,0.8181818181818182,0.9,fakat toplumsal bir yararın elde edilmesi bu yöntemle mümkün değildir,fakat toplumsal bir yararın elde edilmesi bu yöntemle mümkün değildi,fakat toplumsal bir yararın elde edilmesi bu yöntemle mümkün değildir,fakat toplumsal bir yararın elde edilmesi bu yöntemle mümkün değildi,0.873015873015873,0.631578947368421,0.46153846153846156,0.46153846153846156,0.631578947368421,fakat toplumsal bir yararın elde edilmesi bu yöntemle mümkün değildir,fakat toplumsal bir yarar elinde bu yöntemle mümkün değil,fakat toplumsal bir yararın elde edilmesi bu yöntemle mümkün değildir,fakat toplumsal bir yarar elinde bu yöntemle mümkün değil,0.11968485691113429,0.268421052631579,0.268421052631579
bio_876,Çünkü şampanya içiliyormuş.,Çünkü şampanya içilmiş.,Çünkü şampanyayı içiyormuş.,True,True,True,0.875,0.6666666666666666,0.5,0.5,0.6666666666666666,çünkü şampanya içiliyormuş,çünkü şampanya içilmiş,çünkü şampanya içiliyormuş,çünkü şampanya içilmiş,0.9230769230769231,0.3333333333333333,0.2,0.2,0.3333333333333333,çünkü şampanya içiliyormuş,çünkü şampanyayı içiyormuş,çünkü şampanya içiliyormuş,çünkü şampanyayı içiyormuş,-0.04807692307692313,0.3333333333333333,0.3333333333333333
